Date,consumer_sentiment,cpi_inflation,unemployment_rate,gdp_growth
2005-01-01,95.5,191.6,5.3,12767.286
2005-02-01,94.1,192.4,5.4,
2005-03-01,92.6,193.1,5.2,
2005-04-01,87.7,193.7,5.2,12922.656
2005-05-01,86.9,193.6,5.1,
2005-06-01,96.0,193.7,5.0,
2005-07-01,96.5,194.9,5.0,13142.642
2005-08-01,89.1,196.1,4.9,
2005-09-01,76.9,198.8,5.0,
2005-10-01,74.2,199.1,5.0,13324.204
2005-11-01,81.6,198.1,5.0,
2005-12-01,91.5,198.1,4.9,
2006-01-01,91.2,199.3,4.7,13599.16
2006-02-01,86.7,199.4,4.8,
2006-03-01,88.9,199.7,4.7,
2006-04-01,87.4,200.7,4.7,13753.424
2006-05-01,79.1,201.3,4.6,
2006-06-01,84.9,201.8,4.6,
2006-07-01,84.7,202.9,4.7,13870.188
2006-08-01,82.0,203.8,4.7,
2006-09-01,85.4,202.8,4.5,
2006-10-01,93.6,201.9,4.4,14039.56
2006-11-01,92.1,202.0,4.5,
2006-12-01,91.7,203.1,4.4,
2007-01-01,96.9,203.437,4.6,14215.651
2007-02-01,91.3,204.226,4.5,
2007-03-01,88.4,205.288,4.4,
2007-04-01,87.1,205.904,4.5,14402.082
2007-05-01,88.3,206.755,4.4,
2007-06-01,85.3,207.234,4.6,
2007-07-01,90.4,207.603,4.7,14564.117
2007-08-01,83.4,207.667,4.6,
2007-09-01,83.4,208.547,4.7,
2007-10-01,80.9,209.19,4.7,14715.058
2007-11-01,76.1,210.834,4.7,
2007-12-01,75.5,211.445,5.0,
2008-01-01,78.4,212.174,5.0,14706.538
2008-02-01,70.8,212.687,4.9,
2008-03-01,69.5,213.448,5.1,
2008-04-01,62.6,213.942,5.0,14865.701
2008-05-01,59.8,215.208,5.4,
2008-06-01,56.4,217.463,5.6,
2008-07-01,61.2,219.016,5.8,14898.999
2008-08-01,63.0,218.69,6.1,
2008-09-01,70.3,218.877,6.1,
2008-10-01,57.6,216.995,6.5,14608.209
2008-11-01,55.3,213.153,6.8,
2008-12-01,60.1,211.398,7.3,
2009-01-01,61.2,211.933,7.8,14430.902
2009-02-01,56.3,212.705,8.3,
2009-03-01,57.3,212.495,8.7,
2009-04-01,65.1,212.709,9.0,14381.236
2009-05-01,68.7,213.022,9.4,
2009-06-01,70.8,214.79,9.5,
2009-07-01,66.0,214.726,9.5,14448.882
2009-08-01,65.7,215.445,9.6,
2009-09-01,73.5,215.861,9.8,
2009-10-01,70.6,216.509,10.0,14651.249
2009-11-01,67.4,217.234,9.9,
2009-12-01,72.5,217.347,9.9,
2010-01-01,74.4,217.488,9.8,14764.61
2010-02-01,73.6,217.281,9.8,
2010-03-01,73.6,217.353,9.9,
2010-04-01,72.2,217.403,9.9,14980.193
2010-05-01,73.6,217.29,9.6,
2010-06-01,76.0,217.199,9.4,
2010-07-01,67.8,217.605,9.4,15141.607
2010-08-01,68.9,217.923,9.5,
2010-09-01,68.2,218.275,9.5,
2010-10-01,67.7,219.035,9.4,15309.474
2010-11-01,71.6,219.59,9.8,
2010-12-01,74.5,220.472,9.3,
2011-01-01,74.2,221.187,9.1,15351.448
2011-02-01,77.5,221.898,9.0,
2011-03-01,67.5,223.046,9.0,
2011-04-01,69.8,224.093,9.1,15557.539
2011-05-01,74.3,224.806,9.0,
2011-06-01,71.5,224.806,9.1,
2011-07-01,63.7,225.395,9.0,15647.68
2011-08-01,55.8,226.106,9.0,
2011-09-01,59.5,226.597,9.0,
2011-10-01,60.8,226.75,8.8,15842.259
2011-11-01,63.7,227.169,8.6,
2011-12-01,69.9,227.223,8.5,
2012-01-01,75.0,227.842,8.3,16068.805
2012-02-01,75.3,228.329,8.3,
2012-03-01,76.2,228.807,8.2,
2012-04-01,76.4,229.187,8.2,16207.115
2012-05-01,79.3,228.713,8.2,
2012-06-01,73.2,228.524,8.2,
2012-07-01,72.3,228.59,8.2,16319.541
2012-08-01,74.3,229.918,8.1,
2012-09-01,78.3,231.015,7.8,
2012-10-01,82.6,231.638,7.8,16420.419
2012-11-01,82.7,231.249,7.7,
2012-12-01,72.9,231.221,7.9,
2013-01-01,73.8,231.679,8.0,16648.189
2013-02-01,77.6,232.937,7.7,
2013-03-01,78.6,232.282,7.5,
2013-04-01,76.4,231.797,7.6,16728.687
2013-05-01,84.5,231.893,7.5,
2013-06-01,84.1,232.445,7.5,
2013-07-01,85.1,232.9,7.3,16953.838
2013-08-01,82.1,233.456,7.2,
2013-09-01,77.5,233.544,7.2,
2013-10-01,73.2,233.669,7.2,17192.019
2013-11-01,75.1,234.1,6.9,
2013-12-01,82.5,234.719,6.7,
2014-01-01,81.2,235.288,6.6,17197.738
2014-02-01,81.6,235.547,6.7,
2014-03-01,80.0,236.028,6.7,
2014-04-01,84.1,236.468,6.2,17518.508
2014-05-01,81.9,236.918,6.3,
2014-06-01,82.5,237.231,6.1,
2014-07-01,81.8,237.498,6.2,17804.228
2014-08-01,82.5,237.46,6.1,
2014-09-01,84.6,237.477,5.9,
2014-10-01,86.9,237.43,5.7,17912.079
2014-11-01,88.8,236.983,5.8,
2014-12-01,93.6,236.252,5.6,
2015-01-01,98.1,234.747,5.7,18063.529
2015-02-01,95.4,235.342,5.5,
2015-03-01,93.0,235.976,5.4,
2015-04-01,95.9,236.222,5.4,18279.784
2015-05-01,90.7,237.001,5.6,
2015-06-01,96.1,237.657,5.3,
2015-07-01,93.1,238.034,5.2,18401.626
2015-08-01,91.9,238.033,5.1,
2015-09-01,87.2,237.498,5.0,
2015-10-01,90.0,237.733,5.0,18435.137
2015-11-01,91.3,238.017,5.1,
2015-12-01,92.6,237.761,5.0,
2016-01-01,92.0,237.652,4.8,18525.933
2016-02-01,91.7,237.336,4.9,
2016-03-01,91.0,238.08,5.0,
2016-04-01,89.0,238.992,5.1,18711.702
2016-05-01,94.7,239.557,4.8,
2016-06-01,93.5,240.222,4.9,
2016-07-01,90.0,240.101,4.8,18892.639
2016-08-01,89.8,240.545,4.9,
2016-09-01,91.2,241.176,5.0,
2016-10-01,87.2,241.741,4.9,19089.379
2016-11-01,93.8,242.026,4.7,
2016-12-01,98.2,242.637,4.7,
2017-01-01,98.5,243.618,4.7,19280.084
2017-02-01,96.3,244.006,4.6,
2017-03-01,96.9,243.892,4.4,
2017-04-01,97.0,244.193,4.4,19438.643
2017-05-01,97.1,244.004,4.4,
2017-06-01,95.0,244.163,4.3,
2017-07-01,93.4,244.243,4.3,19692.595
2017-08-01,96.8,245.183,4.4,
2017-09-01,95.1,246.435,4.3,
2017-10-01,100.7,246.626,4.2,20037.088
2017-11-01,98.5,247.284,4.2,
2017-12-01,95.9,247.805,4.1,
2018-01-01,95.7,248.859,4.0,20328.553
2018-02-01,99.7,249.529,4.1,
2018-03-01,101.4,249.577,4.0,
2018-04-01,98.8,250.227,4.0,20580.912
2018-05-01,98.0,250.792,3.8,
2018-06-01,98.2,251.018,4.0,
2018-07-01,97.9,251.214,3.8,20798.73
2018-08-01,96.2,251.663,3.8,
2018-09-01,100.1,252.182,3.7,
2018-10-01,98.6,252.772,3.8,20917.867
2018-11-01,97.5,252.594,3.8,
2018-12-01,98.3,252.767,3.9,
2019-01-01,91.2,252.561,4.0,21111.6
2019-02-01,93.8,253.319,3.8,
2019-03-01,98.4,254.277,3.8,
2019-04-01,97.2,255.233,3.7,21397.938
2019-05-01,100.0,255.296,3.6,
2019-06-01,98.2,255.213,3.6,
2019-07-01,98.4,255.802,3.7,21717.171
2019-08-01,89.8,256.036,3.6,
2019-09-01,93.2,256.43,3.5,
2019-10-01,95.5,257.155,3.6,21933.217
2019-11-01,96.8,257.879,3.6,
2019-12-01,99.3,258.63,3.6,
2020-01-01,99.8,259.127,3.6,21751.238
2020-02-01,101.0,259.25,3.5,
2020-03-01,89.1,258.076,4.4,
2020-04-01,71.8,256.032,14.8,19958.291
2020-05-01,72.3,255.802,13.2,
2020-06-01,78.1,257.042,11.0,
2020-07-01,72.5,258.352,10.2,21704.437
2020-08-01,74.1,259.316,8.4,
2020-09-01,80.4,259.997,7.8,
2020-10-01,81.8,260.319,6.9,22087.16
2020-11-01,76.9,260.911,6.7,
2020-12-01,80.7,262.045,6.7,
2021-01-01,79.0,262.687,6.4,22680.693
2021-02-01,76.8,263.579,6.2,
2021-03-01,84.9,264.961,6.1,
2021-04-01,88.3,266.614,6.1,23425.91
2021-05-01,82.9,268.383,5.8,
2021-06-01,85.5,270.654,5.9,
2021-07-01,81.2,271.903,5.4,23982.379
2021-08-01,70.3,272.676,5.1,
2021-09-01,72.8,273.91,4.7,
2021-10-01,71.7,276.55,4.5,24813.6
2021-11-01,67.4,278.919,4.1,
2021-12-01,70.6,280.845,3.9,
2022-01-01,67.2,282.543,4.0,25250.347
2022-02-01,62.8,284.5,3.9,
2022-03-01,59.4,287.674,3.7,
2022-04-01,65.2,288.561,3.7,25861.292
2022-05-01,58.4,291.298,3.6,
2022-06-01,50.0,294.957,3.6,
2022-07-01,51.5,294.913,3.5,26336.304
2022-08-01,58.2,295.097,3.6,
2022-09-01,58.6,296.349,3.5,
2022-10-01,59.9,298.007,3.6,26770.514
2022-11-01,56.7,298.786,3.6,
2022-12-01,59.8,298.832,3.5,
2023-01-01,64.9,300.42,3.5,27216.445
